,Primary,Secondary,true
556,Arts_and_Entertainment,Sports,Finance
558,News_and_Media,Books_and_Literature,Food_and_Drink
562,Beauty_and_Fitness,Shopping,Health
568,Books_and_Literature,Reference,Reference
572,Computer_and_Electronics,News_and_Media,News_and_Media
573,Computer_and_Electronics,Shopping,Business_and_Industry
575,Computer_and_Electronics,Sports,Games
579,Books_and_Literature,Reference,Reference
581,Home_and_Garden,Shopping,Business_and_Industry
585,Pets_and_Animals,Beauty_and_Fitness,Health
587,Games,Gambling,Sports
588,Career_and_Education,Arts_and_Entertainment,Gambling
591,People_and_Society,Career_and_Education,Shopping
592,Career_and_Education,Computer_and_Electronics,Finance
599,Travel,Recreation_and_Hobbies,Recreation_and_Hobbies
602,Food_and_Drink,Reference,Sports
603,Autos_and_Vehicles,People_and_Society,Computer_and_Electronics
609,Law_and_Government,Travel,Reference
612,Travel,Law_and_Government,Law_and_Government
613,Books_and_Literature,Internet_and_Telecom,Health
619,Beauty_and_Fitness,Reference,Science
621,Sports,News_and_Media,Autos_and_Vehicles
627,Books_and_Literature,Reference,Reference
628,News_and_Media,People_and_Society,Books_and_Literature
632,People_and_Society,Books_and_Literature,Reference
637,Recreation_and_Hobbies,Internet_and_Telecom,Internet_and_Telecom
649,Computer_and_Electronics,Internet_and_Telecom,Reference
653,Internet_and_Telecom,Recreation_and_Hobbies,Food_and_Drink
655,Games,Home_and_Garden,Recreation_and_Hobbies
658,Autos_and_Vehicles,Games,Sports
659,Law_and_Government,People_and_Society,People_and_Society
661,People_and_Society,Law_and_Government,Law_and_Government
662,Sports,News_and_Media,Beauty_and_Fitness
663,News_and_Media,Books_and_Literature,Books_and_Literature
666,Gambling,Books_and_Literature,Adult
670,Sports,Internet_and_Telecom,Travel
675,Internet_and_Telecom,Computer_and_Electronics,Adult
679,Books_and_Literature,News_and_Media,Travel
682,Computer_and_Electronics,Books_and_Literature,Books_and_Literature
684,News_and_Media,Science,Arts_and_Entertainment
686,Law_and_Government,Internet_and_Telecom,Gambling
688,Computer_and_Electronics,Internet_and_Telecom,Career_and_Education
690,Books_and_Literature,Sports,Gambling
693,Gambling,Travel,Sports
695,Computer_and_Electronics,Internet_and_Telecom,Beauty_and_Fitness
696,Law_and_Government,People_and_Society,People_and_Society
698,Travel,Business_and_Industry,Games
704,Beauty_and_Fitness,Home_and_Garden,Home_and_Garden
705,Sports,Internet_and_Telecom,Health
707,News_and_Media,Arts_and_Entertainment,Books_and_Literature
708,Pets_and_Animals,Internet_and_Telecom,Science
709,Arts_and_Entertainment,Sports,News_and_Media
712,Business_and_Industry,Health,Computer_and_Electronics
714,News_and_Media,Travel,People_and_Society
715,News_and_Media,Adult,Reference
716,People_and_Society,Computer_and_Electronics,Travel
717,Travel,Gambling,Gambling
718,Computer_and_Electronics,Reference,Books_and_Literature
721,Computer_and_Electronics,Law_and_Government,Law_and_Government
724,Autos_and_Vehicles,Sports,Internet_and_Telecom
727,Business_and_Industry,Computer_and_Electronics,Computer_and_Electronics
728,Law_and_Government,Finance,Finance
732,Science,Sports,Autos_and_Vehicles
735,Reference,Travel,Business_and_Industry
739,Career_and_Education,News_and_Media,Beauty_and_Fitness
741,People_and_Society,Travel,Reference
744,Computer_and_Electronics,Science,Sports
747,People_and_Society,Career_and_Education,Business_and_Industry
752,Finance,Law_and_Government,Internet_and_Telecom
753,Home_and_Garden,Sports,Beauty_and_Fitness
754,Science,Health,People_and_Society
755,Books_and_Literature,News_and_Media,Science
756,Games,Reference,Sports
760,Games,Internet_and_Telecom,Arts_and_Entertainment
762,Books_and_Literature,People_and_Society,Reference
763,Reference,Books_and_Literature,People_and_Society
766,Shopping,Games,Beauty_and_Fitness
771,Gambling,Games,Food_and_Drink
772,Travel,Law_and_Government,Beauty_and_Fitness
774,Career_and_Education,Science,Books_and_Literature
775,Business_and_Industry,Computer_and_Electronics,Health
780,News_and_Media,Career_and_Education,People_and_Society
785,Shopping,Home_and_Garden,Sports
788,Home_and_Garden,Reference,Law_and_Government
793,Career_and_Education,Autos_and_Vehicles,Autos_and_Vehicles
795,Beauty_and_Fitness,Reference,Internet_and_Telecom
796,Computer_and_Electronics,Internet_and_Telecom,Recreation_and_Hobbies
799,Beauty_and_Fitness,Pets_and_Animals,Gambling
805,Autos_and_Vehicles,Computer_and_Electronics,Gambling
806,Adult,Books_and_Literature,Autos_and_Vehicles
809,Health,Beauty_and_Fitness,Internet_and_Telecom
812,Games,Reference,People_and_Society
813,Beauty_and_Fitness,Computer_and_Electronics,Health
815,Internet_and_Telecom,Pets_and_Animals,Pets_and_Animals
816,Computer_and_Electronics,Games,Games
824,Health,Beauty_and_Fitness,Beauty_and_Fitness
826,Books_and_Literature,Food_and_Drink,Food_and_Drink
829,Home_and_Garden,Health,Books_and_Literature
830,People_and_Society,Books_and_Literature,Health
831,Science,Business_and_Industry,Business_and_Industry
835,Autos_and_Vehicles,Sports,Sports
839,Business_and_Industry,Recreation_and_Hobbies,Autos_and_Vehicles
841,Business_and_Industry,Science,People_and_Society
842,Business_and_Industry,Computer_and_Electronics,Beauty_and_Fitness
846,Food_and_Drink,Shopping,Internet_and_Telecom
847,Health,Pets_and_Animals,People_and_Society
848,Food_and_Drink,Health,People_and_Society
849,Computer_and_Electronics,Finance,Finance
850,Reference,Science,Science
852,Finance,Travel,Sports
855,Computer_and_Electronics,Science,Science
857,Beauty_and_Fitness,Food_and_Drink,Food_and_Drink
858,Science,Law_and_Government,Business_and_Industry
859,Books_and_Literature,News_and_Media,Reference
861,Business_and_Industry,Science,Science
862,Games,Gambling,Autos_and_Vehicles
864,Sports,Career_and_Education,News_and_Media
866,Law_and_Government,Travel,Travel
867,Travel,Sports,Gambling
869,Recreation_and_Hobbies,News_and_Media,Law_and_Government
870,Computer_and_Electronics,Shopping,Shopping
872,Computer_and_Electronics,Career_and_Education,Health
874,Games,Arts_and_Entertainment,Internet_and_Telecom
875,Internet_and_Telecom,Games,News_and_Media
878,Health,Career_and_Education,Reference
881,Games,Sports,Sports
882,Travel,Autos_and_Vehicles,Autos_and_Vehicles
883,Beauty_and_Fitness,Food_and_Drink,Arts_and_Entertainment
884,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
885,People_and_Society,Books_and_Literature,News_and_Media
889,Books_and_Literature,News_and_Media,Health
890,Computer_and_Electronics,Business_and_Industry,Arts_and_Entertainment
891,Finance,Business_and_Industry,Business_and_Industry
893,Science,Travel,News_and_Media
899,Travel,Reference,Reference
900,Finance,Business_and_Industry,Business_and_Industry
901,News_and_Media,Arts_and_Entertainment,Sports
906,Finance,Law_and_Government,Business_and_Industry
909,News_and_Media,People_and_Society,Health
913,Gambling,News_and_Media,Books_and_Literature
914,Reference,Home_and_Garden,Arts_and_Entertainment
917,Books_and_Literature,Sports,Internet_and_Telecom
918,Travel,Home_and_Garden,Home_and_Garden
920,Beauty_and_Fitness,Food_and_Drink,Law_and_Government
923,Business_and_Industry,Internet_and_Telecom,People_and_Society
925,Computer_and_Electronics,Internet_and_Telecom,Beauty_and_Fitness
926,Gambling,Sports,Sports
930,Reference,People_and_Society,Health
933,Internet_and_Telecom,Arts_and_Entertainment,Gambling
934,Travel,Recreation_and_Hobbies,Recreation_and_Hobbies
935,News_and_Media,Home_and_Garden,Travel
936,Arts_and_Entertainment,Reference,Career_and_Education
937,Home_and_Garden,Beauty_and_Fitness,Beauty_and_Fitness
939,Computer_and_Electronics,Science,Internet_and_Telecom
941,Shopping,Home_and_Garden,Beauty_and_Fitness
942,News_and_Media,Internet_and_Telecom,Food_and_Drink
943,Travel,Food_and_Drink,Food_and_Drink
944,Internet_and_Telecom,Autos_and_Vehicles,Sports
945,Travel,Sports,Sports
948,Law_and_Government,Recreation_and_Hobbies,Recreation_and_Hobbies
962,Food_and_Drink,Shopping,Shopping
963,Travel,Sports,Adult
964,Computer_and_Electronics,Career_and_Education,Reference
965,Sports,Beauty_and_Fitness,Beauty_and_Fitness
966,Recreation_and_Hobbies,Travel,Pets_and_Animals
967,People_and_Society,Books_and_Literature,Books_and_Literature
969,Sports,Internet_and_Telecom,Career_and_Education
971,Sports,Career_and_Education,News_and_Media
974,Adult,Games,Games
975,Games,Shopping,News_and_Media
978,Computer_and_Electronics,Internet_and_Telecom,Adult
979,News_and_Media,Travel,Travel
986,Home_and_Garden,Arts_and_Entertainment,News_and_Media
989,Travel,Recreation_and_Hobbies,Sports
991,Sports,Autos_and_Vehicles,Autos_and_Vehicles
992,Books_and_Literature,News_and_Media,Reference
993,Sports,Career_and_Education,News_and_Media
995,Beauty_and_Fitness,Sports,Sports
997,Food_and_Drink,Shopping,Gambling
999,Law_and_Government,Health,Health
1002,Reference,Science,Science
1003,Games,Home_and_Garden,People_and_Society
1004,Recreation_and_Hobbies,Travel,Sports
1007,Food_and_Drink,Health,Internet_and_Telecom
1008,Internet_and_Telecom,Beauty_and_Fitness,People_and_Society
1009,Finance,Law_and_Government,Business_and_Industry
1010,Beauty_and_Fitness,Home_and_Garden,Gambling
1012,Travel,Autos_and_Vehicles,Reference
1015,Computer_and_Electronics,Reference,Reference
1017,Computer_and_Electronics,Internet_and_Telecom,Beauty_and_Fitness
1018,Home_and_Garden,Reference,Career_and_Education
1019,News_and_Media,Science,Beauty_and_Fitness
1020,Computer_and_Electronics,Science,Books_and_Literature
1022,Home_and_Garden,Shopping,Shopping
1024,News_and_Media,Science,Travel
1026,Career_and_Education,Health,Health
1028,Computer_and_Electronics,Internet_and_Telecom,Law_and_Government
1031,Business_and_Industry,Autos_and_Vehicles,Computer_and_Electronics
1033,Travel,Gambling,Gambling
1034,People_and_Society,Computer_and_Electronics,Sports
1036,Beauty_and_Fitness,Health,Health
1037,People_and_Society,Books_and_Literature,Health
1042,People_and_Society,Books_and_Literature,Books_and_Literature
1044,Computer_and_Electronics,Games,Games
1047,Internet_and_Telecom,Health,Home_and_Garden
1049,Business_and_Industry,Health,Food_and_Drink
1054,Computer_and_Electronics,Arts_and_Entertainment,Internet_and_Telecom
1055,Travel,Sports,Sports
1061,Health,Law_and_Government,Science
1066,Career_and_Education,Reference,Science
1068,People_and_Society,News_and_Media,Science
1069,Computer_and_Electronics,Recreation_and_Hobbies,Business_and_Industry
1073,People_and_Society,Internet_and_Telecom,Internet_and_Telecom
1075,Reference,People_and_Society,Books_and_Literature
1076,Games,Internet_and_Telecom,Internet_and_Telecom
1078,Law_and_Government,Health,Travel
1079,News_and_Media,Gambling,Gambling
1083,Gambling,Games,Games
1084,Books_and_Literature,Finance,Finance
1086,Shopping,Business_and_Industry,Business_and_Industry
1087,Business_and_Industry,Science,Recreation_and_Hobbies
1088,Beauty_and_Fitness,Finance,Reference
1090,News_and_Media,Books_and_Literature,Beauty_and_Fitness
1091,Beauty_and_Fitness,Finance,Food_and_Drink
1097,Finance,Business_and_Industry,Autos_and_Vehicles
1100,Beauty_and_Fitness,Arts_and_Entertainment,Gambling
1104,Internet_and_Telecom,Sports,People_and_Society
1105,Books_and_Literature,Shopping,Food_and_Drink
1106,Business_and_Industry,Science,News_and_Media
1112,Computer_and_Electronics,Internet_and_Telecom,Arts_and_Entertainment
1113,Books_and_Literature,Arts_and_Entertainment,Finance
1114,Internet_and_Telecom,Computer_and_Electronics,Health
1116,Beauty_and_Fitness,Arts_and_Entertainment,Arts_and_Entertainment
1120,Beauty_and_Fitness,Health,Health
1122,Food_and_Drink,Health,Health
1124,Computer_and_Electronics,Internet_and_Telecom,Games
1125,Health,Career_and_Education,Reference
1127,Law_and_Government,Gambling,Gambling
1128,Health,People_and_Society,Science
1130,Games,Internet_and_Telecom,Books_and_Literature
1131,Career_and_Education,Law_and_Government,Sports
1135,Career_and_Education,Science,Health
1138,Computer_and_Electronics,Reference,Reference
1141,Internet_and_Telecom,Shopping,Books_and_Literature
1143,People_and_Society,Science,Reference
1145,Career_and_Education,Health,Health
1146,Books_and_Literature,Travel,Food_and_Drink
1148,Games,Recreation_and_Hobbies,Pets_and_Animals
1149,Games,Books_and_Literature,Law_and_Government
1150,Law_and_Government,Computer_and_Electronics,Gambling
1151,Law_and_Government,People_and_Society,People_and_Society
1156,Beauty_and_Fitness,Health,Health
1157,Sports,Autos_and_Vehicles,Food_and_Drink
1158,People_and_Society,Science,News_and_Media
1159,Books_and_Literature,Arts_and_Entertainment,News_and_Media
1169,Internet_and_Telecom,Career_and_Education,People_and_Society
1170,Computer_and_Electronics,Internet_and_Telecom,Health
1172,Computer_and_Electronics,Internet_and_Telecom,Books_and_Literature
1174,Autos_and_Vehicles,Health,Business_and_Industry
1176,Computer_and_Electronics,Business_and_Industry,Business_and_Industry
1177,Business_and_Industry,Shopping,Shopping
1179,Books_and_Literature,Science,News_and_Media
1184,Business_and_Industry,Law_and_Government,Law_and_Government
1185,Sports,Home_and_Garden,Travel
1186,Beauty_and_Fitness,Arts_and_Entertainment,Health
1187,Books_and_Literature,Arts_and_Entertainment,Beauty_and_Fitness
1188,Reference,Recreation_and_Hobbies,Autos_and_Vehicles
1192,Career_and_Education,Reference,Science
1194,Science,Law_and_Government,Business_and_Industry
1195,Games,Shopping,Beauty_and_Fitness
1200,Food_and_Drink,Travel,News_and_Media
1206,Internet_and_Telecom,News_and_Media,Arts_and_Entertainment
1210,Books_and_Literature,News_and_Media,Health
1211,Career_and_Education,Health,Business_and_Industry
1215,Shopping,Books_and_Literature,Beauty_and_Fitness
1216,Beauty_and_Fitness,Home_and_Garden,Arts_and_Entertainment
1217,People_and_Society,Law_and_Government,Law_and_Government
1221,Arts_and_Entertainment,Home_and_Garden,Business_and_Industry
1223,Computer_and_Electronics,Science,Reference
1224,Recreation_and_Hobbies,Arts_and_Entertainment,Home_and_Garden
1225,Pets_and_Animals,Recreation_and_Hobbies,Recreation_and_Hobbies
1226,Beauty_and_Fitness,Food_and_Drink,Health
1229,Beauty_and_Fitness,Adult,Internet_and_Telecom
1234,Finance,Sports,Books_and_Literature
1235,Sports,Reference,Gambling
1240,Internet_and_Telecom,Sports,Sports
1243,Games,Arts_and_Entertainment,Books_and_Literature
1244,Sports,Beauty_and_Fitness,Beauty_and_Fitness
1247,Law_and_Government,Career_and_Education,Internet_and_Telecom
1248,Science,Health,Books_and_Literature
1250,People_and_Society,Reference,Internet_and_Telecom
1253,Law_and_Government,Reference,Reference
1256,Travel,Reference,Arts_and_Entertainment
1257,People_and_Society,Law_and_Government,Law_and_Government
1261,Computer_and_Electronics,Arts_and_Entertainment,Reference
1262,Games,Books_and_Literature,Books_and_Literature
1264,Reference,People_and_Society,Books_and_Literature
1270,Arts_and_Entertainment,Games,Games
1272,Health,People_and_Society,Reference
1273,People_and_Society,Science,Internet_and_Telecom
1274,Beauty_and_Fitness,Home_and_Garden,Internet_and_Telecom
1278,Travel,Arts_and_Entertainment,Arts_and_Entertainment
1279,Reference,Books_and_Literature,Books_and_Literature
1285,Arts_and_Entertainment,Home_and_Garden,Business_and_Industry
1287,Law_and_Government,People_and_Society,Business_and_Industry
1289,Beauty_and_Fitness,Arts_and_Entertainment,Arts_and_Entertainment
1291,Beauty_and_Fitness,Career_and_Education,Games
1293,Finance,Science,Science
1295,Travel,Computer_and_Electronics,Science
1296,Sports,Gambling,News_and_Media
1297,Reference,Books_and_Literature,Books_and_Literature
1299,Sports,Recreation_and_Hobbies,Books_and_Literature
1303,Arts_and_Entertainment,Computer_and_Electronics,Food_and_Drink
1306,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
1309,Internet_and_Telecom,Health,Health
1310,Computer_and_Electronics,Internet_and_Telecom,Books_and_Literature
1315,Arts_and_Entertainment,Reference,Adult
1321,Beauty_and_Fitness,Sports,News_and_Media
1325,Science,Computer_and_Electronics,Adult
1327,Travel,Sports,Recreation_and_Hobbies
1328,Books_and_Literature,Reference,People_and_Society
1330,News_and_Media,Science,Pets_and_Animals
1331,Gambling,Games,Reference
1332,Computer_and_Electronics,Internet_and_Telecom,Internet_and_Telecom
1333,Arts_and_Entertainment,Computer_and_Electronics,Internet_and_Telecom
1335,Internet_and_Telecom,Recreation_and_Hobbies,Recreation_and_Hobbies
1338,Law_and_Government,Health,People_and_Society
1341,Science,Law_and_Government,Career_and_Education
1342,Beauty_and_Fitness,Home_and_Garden,Games
1343,Shopping,Beauty_and_Fitness,Beauty_and_Fitness
1344,Computer_and_Electronics,Science,Books_and_Literature
1345,Beauty_and_Fitness,Food_and_Drink,Internet_and_Telecom
1346,People_and_Society,Science,Science
1347,Books_and_Literature,Reference,People_and_Society
1348,Arts_and_Entertainment,News_and_Media,Reference
1349,Career_and_Education,Health,Health
